DateTime,PM25_ug_m3,ET_C,RH_pct,WS_km_h,WD_deg,Location
2026/06/07 11:00,1.245,13.882,28.086,2.114,202.253,Calgary Southeast
2026/06/09 15:00,1.247,17.911,33.678,7.906,190.343,Calgary Northwest
2026/06/28 13:00,1.247,12.069,99.799,28.956,337.377,Airdrie
2026/06/10 01:00,1.248,12.112,61.398,12.522,314.658,Calgary Central
2026/06/07 21:00,1.281,10.485,54.39,3.618,231.92,Calgary Central
2026/06/07 23:00,1.29,10.32,52.757,2.743,343.517,Calgary Northwest
2026/06/08 08:00,1.292,13.807,33.22,12.447,271.8,Calgary Northwest
2026/06/17 04:00,1.295,10.735,62.024,13.829,316.552,Airdrie
2026/06/09 17:00,1.3,19.603,25.211,3.257,331.053,Calgary Central
2026/06/16 21:00,1.302,13.009,47.481,16.104,267.541,Calgary Southeast
2026/06/28 15:00,1.308,13.313,99.515,23.014,339.408,Calgary Southeast
2026/06/07 14:00,1.315,10.197,63.308,3.673,138.684,Calgary Northwest
2026/06/08 20:00,1.315,19.453,11.285,10.595,250.694,Calgary Southeast
2026/06/08 20:00,1.316,17.688,21.744,11.824,253.419,Airdrie
2026/06/10 02:00,1.317,9.78,83.926,4.764,274.178,Calgary Northwest
2026/06/12 14:00,1.319,10.128,81.476,16.665,351.883,Airdrie
2026/06/09 11:00,1.322,16.423,31.33,9.245,241.872,Calgary Southeast
2026/06/07 17:00,1.327,6.648,99.877,18.105,340.119,Airdrie
2026/06/07 03:00,1.337,4.762,84.778,8.216,223.747,Airdrie
2026/06/07 19:00,1.341,9.978,59.826,10.088,322.645,Calgary Northwest
2026/06/09 17:00,1.344,18.644,31.625,4.287,300.836,Calgary Northwest
2026/06/11 18:00,1.345,12.845,73.769,8.034,335.209,Airdrie
2026/06/16 22:00,1.349,11.847,55.787,9.8,279.367,Calgary Southeast
2026/06/07 05:00,1.351,4.17,82.377,2.551,213.849,Airdrie
2026/06/17 05:00,1.359,10.898,59.844,12.508,327.291,Airdrie
2026/06/09 14:00,1.364,17.528,35.976,7.22,191.179,Calgary Northwest
2026/06/02 04:00,1.368,7.297,99.8,29.773,344.796,Airdrie
2026/06/08 01:00,1.369,7.997,99.818,5.96,359.452,Airdrie
2026/06/09 23:00,1.369,13.729,45.447,10.738,314.605,Calgary Central
2026/06/02 04:00,1.37,8.272,99.8,26.64,334.9,Calgary Southeast
2026/06/28 14:00,1.374,12.419,88.344,24.141,324.843,Calgary Northwest
